date,value
2020-02-26,113.0199966430664
2020-02-27,107.44999694824219
2020-02-28,102.55000305175781
2020-03-02,110.12000274658203
2020-03-03,110.06999969482422
2020-03-04,116.37000274658203
2020-03-05,114.0999984741211
2020-03-06,110.5
2020-03-09,105.72000122070312
2020-03-10,104.69999694824219
2020-03-11,99.31999969482422
2020-03-12,88.62999725341797
2020-03-13,96.05000305175781
2020-03-16,85.30999755859375
2020-03-17,95.02999877929688
2020-03-18,91.56999969482422
2020-03-19,88.0
2020-03-20,80.5
2020-03-23,72.86000061035156
2020-03-24,82.98999786376953
2020-03-25,86.95999908447266
2020-03-26,93.81999969482422
2020-03-27,92.77999877929688
2020-03-30,99.44000244140625
2020-03-31,94.94999694824219
2020-04-01,92.2699966430664
2020-04-02,93.95999908447266
2020-04-03,95.22000122070312
2020-04-06,101.58999633789062
2020-04-07,100.94000244140625
2020-04-08,104.12999725341797
2020-04-09,107.91999816894531
2020-04-13,103.29000091552734
2020-04-14,107.55999755859375
2020-04-15,106.0
2020-04-16,108.30999755859375
2020-04-17,111.23999786376953
2020-04-20,109.77999877929688
2020-04-21,105.2699966430664
2020-04-22,104.62999725341797
2020-04-23,103.8499984741211
2020-04-24,105.62999725341797
2020-04-27,111.62999725341797
2020-04-28,111.20999908447266
2020-04-29,111.5999984741211
2020-04-30,109.66999816894531
2020-05-01,106.62000274658203
2020-05-04,106.12999725341797
2020-05-05,108.83000183105469
2020-05-06,105.62999725341797
2020-05-07,107.33000183105469
2020-05-08,107.58999633789062
2020-05-11,109.23999786376953
2020-05-12,108.5
2020-05-13,108.88999938964844
2020-05-14,109.4800033569336
2020-05-15,112.08000183105469
2020-05-18,114.94000244140625
2020-05-19,112.62999725341797
2020-05-20,114.70999908447266
2020-05-21,113.98999786376953
2020-05-22,115.33999633789062
2020-05-26,116.27999877929688
2020-05-27,115.19000244140625
2020-05-28,116.37000274658203
2020-05-29,118.45999908447266
2020-06-01,118.87999725341797
2020-06-02,119.23999786376953
2020-06-03,119.33999633789062
2020-06-04,117.93000030517578
2020-06-05,119.9000015258789
2020-06-08,121.30000305175781
2020-06-09,120.08999633789062
2020-06-10,120.01000213623047
2020-06-11,113.25
2020-06-12,115.1500015258789
2020-06-15,117.37000274658203
2020-06-16,118.52999877929688
2020-06-17,118.12999725341797
2020-06-18,119.29000091552734
2020-06-19,118.83000183105469
2020-06-22,119.70999908447266
2020-06-23,118.5999984741211
2020-06-24,115.27999877929688
2020-06-25,118.69000244140625
2020-06-26,115.81999969482422
2020-06-29,117.55000305175781
2020-06-30,119.47000122070312
2020-07-01,120.76000213623047
2020-07-02,120.05999755859375
2020-07-06,121.08000183105469
2020-07-07,120.47000122070312
2020-07-08,121.69999694824219
2020-07-09,120.80000305175781
2020-07-10,122.87999725341797
2020-07-13,123.0
2020-07-14,124.80000305175781
2020-07-15,126.83999633789062
2020-07-16,127.02999877929688
2020-07-17,128.44000244140625
2020-07-20,131.3000030517578
2020-07-21,131.00999450683594
2020-07-22,134.10000610351562
2020-07-23,131.41000366210938
2020-07-24,130.55999755859375
2020-07-27,130.52999877929688
2020-07-28,128.14999389648438
2020-07-29,131.00999450683594
2020-07-30,129.89999389648438
2020-07-31,131.30999755859375
2020-08-03,130.35000610351562
2020-08-04,129.6999969482422
2020-08-05,130.36000061035156
2020-08-06,130.6999969482422
2020-08-07,132.8699951171875
